id	input	joke
en_09275	Delighted Doorknob	The delighted doorknob was happy to see me. It said, I'm thrilled you swung by!
en_09276	Happy Clock	The happy clock has a great life motto: Time flies when you're having fun!
en_09277	Cheerful Chili	The cheerful chili was having a party. Everyone thought it was too hot to handle!
en_09278	Friendly Fire	The only kind of friendly fire you want is the kind that warms your marshmallows.
en_09279	Gleeful Golf	Gleeful golf is a great sport. It allows you to drive away your problems.
en_09280	Sweet Dreams	My sweet dreams always involve an unlimited supply of chocolate and no alarm clock.
en_09281	Positive Parking	The secret to finding a positive parking space? Just believe you can fit in that tiny spot.
en_09282	Beaming Beetle	The beaming beetle was happy to meet you. It said, I think we'll bug along just fine!
en_09283	Optimistic Onion	The optimistic onion always looked on the bright side. It said, My layers are full of potential!
en_09284	Bouncy Ball	The bouncy ball was a great friend. It always knew how to rebound from a tough situation.
en_09285	Charming Chandelier	The charming chandelier knew how to lighten the mood. It always said, I shine for you!
en_09286	Hearty Hug	A hearty hug is the best medicine. Its always guaranteed to squeeze the sad out.
en_09287	Amusing Anteater	The amusing anteater became a comedian. His jokes were ant-astic!
en_09288	Kind Knight	The kind knight was famous for fighting evil with compliments. He was chivalrously sweet.
en_09289	Delightful Duck	The delightful duck was a fantastic conversationalist. It always had the best quips.
en_09290	Cheerful Cherry	The cheerful cherry was always on top of things. It had a very sweet outlook.
en_09291	Wiggly Worm	The wiggly worm decided to try breakdancing. It was a groundbreaking performance.
en_09292	Upbeat Ukulele	The upbeat ukulele was perfect for island songs. It always kept things strumming happily.
en_09293	Fantastic Fox	The fantastic fox won the talent show. It had incredible vixen-telligence.
en_09294	Smiling Snowman	The smiling snowman wasn't afraid of the sun. He said, I'm going to melt your heart!
en_09295	Gleeful Glasses	The gleeful glasses were thrilled to be worn. They said, We love being eye-level with happiness!
en_09296	Joyful Journey	Life is a joyful journey, especially if you packed enough snacks and good music.
en_09297	Warm Blanket	The warm blanket had one job: to make every couch nap feel like an achievement.
en_09298	Lucky Charm	I use my lucky charm whenever I'm sad. It's a tiny replica of a box of donuts.
en_09299	Chirpy Chipmunk	The chirpy chipmunk was a fantastic singer. He had great acorn-stic skills.
en_09300	Sparkling Smile	The best accessory is a sparkling smile—its always in style and never costs anything.
en_09301	Radiant Rainbow	The radiant rainbow had a very optimistic view of storms: It's just preparation for my grand entrance!
en_09302	Happy Horse	The happy horse loved telling jokes. His favorite kind was stable humor.
en_09303	Peaceful Pillow	The peaceful pillow has one secret: it just takes every problem and cushions the blow.
en_09304	Positive Plate	The positive plate was always ready for food. It said, I'm open to all possibilities!
en_09305	Grinning Gopher	The grinning gopher loved working out. He said he was going to tunnel his way to fitness!
en_09306	Delighted Dragonfly	The delighted dragonfly always flew high. It said, I'm just winging my way to happiness!
en_09307	Zany Zebra	The zany zebra kept cracking jokes about stripes. He said, Im just crossing the line!
en_09308	Beaming Book	The beaming book loved being read. It said, I'm just happy to share my story!
en_09309	Hearty Hugs	Hearty hugs are great for your health. Doctors say you need at least 8 squishes a day.
en_09310	Cheerful Chair	The cheerful chair was always welcoming. It said, Come sit down and rest your worries!
en_09311	Kind Koala	The kind koala was a great listener. It said, I always treet others with respect.
en_09312	Upbeat Unicorn	The upbeat unicorn was optimistic. It always looked for the magic in every situation.
en_09313	Merry Mug	The merry mug was happy to hold my coffee. It said, I'm ready to perk up your day!
en_09314	Good Cheer	The best thing about good cheer is that it's contagious—go spread the happy sickness!
en_09315	Gleeful Gumball	The gleeful gumball was the life of the party. It had a great chew-titude.
en_09316	Dashing Dolphin	The dashing dolphin was a great comedian. His jokes were flippin' awesome!
en_09317	Positive Penguin	The positive penguin never worried about the cold. It knew how to stay cool.
en_09318	Witty Wallet	My witty wallet told me a joke: I'm feeling light-hearted today!
en_09319	Singing Statue	The singing statue was terrible, but it kept trying. It was a testament to stone-cold ambition.
en_09320	Happy Hedgehog	The happy hedgehog loved to cuddle. It just had to be very careful with its prickly approach.
en_09321	Jubilee Jewelry	I bought some jubilee jewelry. It was very radiant and made me feel like royalty.
en_09322	Shining Star	You are a shining star! Now, go outside and teach the constellations a thing or two.
en_09323	Heartwarming Honey	The heartwarming honey was perfect for tea. It said, I'm here to sweeten your mood!
en_09324	Cheerful Canoe	The cheerful canoe never sank. It always found a way to paddle through trouble.
en_09325	Smiling Sunscreen	The smiling sunscreen was a hero. It always saved the day by giving a bright layer of protection.
en_09326	Funny Factory	The funny factory only manufactured laughs. Its top product was Giggle Gas.
en_09327	Amazing Alphabet	Why is the amazing alphabet so happy? Because it starts with A and ends with Z of good jokes!
en_09328	spoon galaxy	My spoon fell into the bowl and started spinning like it was trying to map the entire galaxy inside my breakfast
en_09329	window socks	My window saw my mismatched socks and refused to open because even it was embarrassed for me
en_09330	chair rocket	My chair tilted back so fast I thought it was launching me like a rocket to teach me about gravity
en_09331	lamp potato	My lamp flickered when I brought a potato near it like it sensed another energy source competing with it
en_09332	banana charger	My banana was lying next to my charger like it was waiting to get powered up for extra potassium strength
en_09333	clock sandwich	My clock ticked loudly while I ate my sandwich like it was timing how fast I could ruin my diet
en_09334	blanket warrior	My blanket wrapped around me so tightly I looked like a warrior ready to fight the cold in dramatic style
en_09335	pillow noodles	My pillow was so soft last night it felt like sleeping on noodles that finally decided to be supportive
en_09336	bucket echo	When I talked into the bucket it echoed back like it was mocking my life choices
en_09337	mirror towel	My mirror saw me wrapped in a towel and acted like it was judging my hairstyle choices
en_09338	flower pencil	My flower pot saw my pencil fall in and looked like it expected me to draw sunlight for it
en_09339	stairs cookie	I dropped a cookie on the stairs and the stairs looked like they wanted the snack more than I did
en_09340	tablet blanket	My tablet kept sliding off the blanket like it was trying to escape my study session
en_09341	paper slipper	I stepped on a paper and it folded itself like a slipper that refused to support me
en_09342	soap hero	My soap slipped out of my hand and flew away like a hero escaping from a boring bath scene
en_09343	marker balloon	My marker rolled toward the balloon like it wanted to draw a new personality on it
en_09344	bottle rainbow	When light hit my water bottle it made a rainbow like the bottle was flexing its magical skills
en_09345	bag cloud	My bag was so light today it felt like carrying a small cloud that forgot to rain responsibilities
en_09346	cup memory	My cup spilled a drop of tea on my shirt and immediately saved the moment in my brain forever
en_09347	fan tiger	My fan roared so loudly last night it sounded like a confused tiger trying to cool down
en_09348	grass phone	My phone fell in the grass and the grass looked like it was adopting it forever
en_09349	shoes holiday	My shoes were so tired they looked like they desperately needed a holiday away from my feet
en_09350	keyboard onion	My keyboard made me cry like an onion when I saw how many assignments I had to type
en_09351	curtain turtle	My curtain moved so slowly today I thought it was trying to impersonate a turtle
en_09352	ruler drama	My ruler snapped in half like it was acting in some dramatic school anime
en_09353	eraser storm	My eraser created such a mess it looked like a tiny storm had visited my desk
en_09354	glass whisper	My glass clinked softly like it was whispering please do not drop me again
en_09355	door puzzle	The door refused to open smoothly today like it wanted to turn my morning into a puzzle
en_09356	notebook panda	My notebook was so blank it sat there like a lazy panda refusing to do any work
en_09357	mouse ladder	My mouse fell off the table like it tried climbing an invisible ladder and failed
en_09358	snack tornado	My snack bag ripped so quickly it created a tornado of crumbs around me
en_09359	curd planet	My bowl of curd spun on the table like it was auditioning to become a tiny planet
en_09360	trousers hero	My trousers ripped in class like a hero sacrificing itself for comedic effect
en_09361	feather bottle	A feather fell into my bottle like it wanted a private swimming session
en_09362	ceiling dance	My ceiling fan wobbled like it was dancing to music only it could hear
en_09363	watermelon freeze	My watermelon was so cold it felt like it had trained in a freezer dojo
en_09364	tissue rocket	My tissue flew away with the wind like it was blasting off in a tiny paper rocket
en_09365	shoe artist	My shoe made a mud pattern on the floor like it was secretly trying to become an artist
en_09366	ladder secret	The ladder creaked like it was sharing secrets from all the people who climbed it
en_09367	hanger moon	My hanger hung so perfectly on the hook it looked like it was orbiting the moon
en_09368	pizza calculator	My calculator stared at my pizza slice like it was calculating how many calories I was ruining
en_09369	doorstorm milk	When I opened the fridge door the milk shook like it was bracing for a storm
en_09370	carrot message	My carrot rolled off the counter like it was delivering a message to the floor
en_09371	sticker drama	My sticker refused to peel smoothly like it enjoyed dramatic entrances
en_09372	soap circus	My soap danced around the sink like it was performing in a slippery circus
en_09373	remote turtle	My remote moved so slowly when I clicked it I thought it had turned into a turtle
en_09374	pen volcano	My pen exploded ink like a tiny frustrated volcano
en_09375	plate marathon	My plate slid across the table like it was running a marathon without training
en_09376	helmet whisper	My helmet fell off and whispered in silence that I should take better care of it
en_09377	balloon rumour	My balloon floated away like it was spreading rumors about my clumsy hands
en_09378	blanket detective	My blanket found the remote faster than I ever could like it was a trained detective
en_09379	window marathon	My window refused to close quickly like it was running a slow marathon
en_09380	fridge mirror	The fridge door reflected my hungry face like it was judging my life decisions
en_09381	paper universe	My paper fluttered around like it was exploring a whole universe on my desk
en_09382	chair thunder	My chair made such a loud sound it felt like indoor thunder
en_09383	coffee cloud	My coffee steamed so much it looked like a mini cloud forming inside my cup
en_09384	hat mystery	My hat disappeared under the bed like it was solving a mystery down there
en_09385	scarf ninja	My scarf wrapped around my face like a ninja preparing for combat
en_09386	pen galaxy	My pen drew a line so long it looked like I was mapping a galaxy
en_09387	juice ladder	My juice spilled down the table like it was climbing an upside down ladder
en_09388	cat lecture	My cat stared at me like it was giving a serious lecture on laziness
en_09389	tree student	The tree outside shook like a student nervous for an exam
en_09390	mirror snack	The mirror showed me holding a snack and silently reminded me of all my broken diets
en_09391	desk cloud	My desk was so dusty it looked like a cloud had settled on it
en_09392	bag rocket	My bag fell off the chair like it was launching a rocket mission
en_09393	bottle whisper	The bottle hissed when I opened it like it was whispering complaints
en_09394	coin jungle	My coin disappeared under the sofa like it was exploring the jungle
en_09395	sheet drama	My bedsheet twisted itself like it was performing a soap opera
en_09396	carrot detective	My carrot vanished from the plate like it was solving a secret mission
en_09397	fan puzzle	The fan changed speed like it wanted me to solve a puzzle
en_09398	keyboard giraffe	My keyboard had one tall key sticking out like a confused giraffe
en_09399	shoe meteor	My shoe flew across the room like a meteor during laundry time
en_09400	pencil dream	My pencil broke in the middle of a sentence like it lost the dream to continue
en_09401	window lion	The window slammed shut like a lion roaring at the wind
en_09402	curtain river	My curtain flowed so smoothly it looked like a river in slow motion
en_09403	mirror turtle	My mirror fogged up so slowly it acted just like a lazy turtle
en_09404	potato wizard	My potato sparked in the microwave like it was performing wizard spells
en_09405	notebook horse	My notebook slammed shut by itself like a horse refusing to be saddled
en_09406	water ghost	My water bottle gurgled like a friendly ghost trying to talk
en_09407	spoon marathon	My spoon kept falling like it was running a marathon and losing every race
en_09408	grass detective	The grass hid my keys like it was part of a secret detective game
en_09409	plant dancer	My plant shook in the wind like it was a dancer performing proudly
en_09410	door penguin	My door waddled when it opened like a penguin greeting me
en_09411	shirt tornado	My shirt spun in the washing machine like a tornado on a mission
en_09412	phone potato	My phone refused to turn on like a potato needing motivation
en_09413	clock dancer	My clock ticked with rhythm like it was practicing dance steps
en_09414	table lion	My table creaked loudly like a lion warning me not to overeat
en_09415	watermelon hero	My watermelon survived the drop like a brave hero coming back stronger
en_09416	keyboard whale	My keyboard made a deep sound like a whale calling its family
en_09417	pillow planet	My pillow was so round it felt like resting on a tiny planet
en_09418	blanket dolphin	My blanket flipped up like a dolphin jumping out of water
en_09419	mouse star	My mouse froze like a star posing for a picture
en_09420	candle hero	My candle flickered strongly like it was fighting darkness bravely
en_09421	soap rabbit	My soap ran away from my hand like a rabbit escaping danger
en_09422	bag waterfall	My bag tipped over and all my stuff fell like a personal waterfall disaster
en_09423	bottle ladder	My bottle rolled under the bed like it was looking for ladders to escape
en_09424	paper cookie	My paper crumbled like a cookie that had given up
en_09425	fan tiger	My fan roared loudly like a tiger refusing to rest
en_09426	mirror potato	My mirror showed my sleepy face and I looked like a thoughtful potato
en_09427	chair magician	My chair disappeared from behind me like a magician pulling off a prank
en_09428	Banana Opera	I went to the banana opera last night. The main star slipped on the stage during the peel-out scene.
en_09429	Fuzzy Gravel	The construction worker accidentally ordered fuzzy gravel. The road was soft, but the commute was extremely cuddly.
en_09430	Tuba Secret	Never trust a tuba secret. They always let out a big blast of sound right when you're whispering.
en_09431	Sneezing Volcano	What happens when a sneezing volcano erupts? It covers the entire island in ash-oo!
en_09432	Cloud Attorney	The cloud attorney was terrible at his job. He kept forgetting to gather his witnesses (winds).
en_09433	Clockwork Ostrich	The clockwork ostrich was too slow. It kept winding down before it could finish burying its head.
en_09434	Invisible Sweater	I bought an invisible sweater. It doesn't keep me warm, but I look absolutely transparently stylish.
en_09435	Whispering Hammer	The whispering hammer was used for secret construction. It only made tiny, tap-secret noises.
en_09436	Angry Teapot	Why did the angry teapot throw a tantrum? It was tired of all the hot gossip!
en_09437	Dancing Broccoli	The dancing broccoli was a hit at the vegetable rave. It had great floret moves.
en_09438	Jellyfish Astronaut	The jellyfish astronaut said traveling through space was a bit boring. It was too much jell-y time.
en_09439	Rubber Squirrel	The rubber squirrel bounced off the tree. He said, I'm just nutty about aerodynamics!
en_09440	Polka-Dot Fire	The polka-dot fire was beautiful, but dangerous. It had way too many spots of trouble.
en_09441	Singing Alarm	My singing alarm clock wakes me up by dramatically performing the sound of gong wrong.
en_09442	Lumpy Yogurt	The lumpy yogurt tried to be a model. It failed the audition because it wasn't smooth enough.
en_09443	Mustard Bicycle	The mustard bicycle was very aggressive. It kept saying, Catch up if you can!
en_09444	Giant Pebble	The giant pebble was very philosophical. It always got down to the rock bottom of every issue.
en_09445	Laser Banana	The laser banana was banned from the kitchen. It was too good at slicing and dicing everything.
en_09446	Talking Socks	My talking socks are always arguing about who gets to be on the right foot. Its a toe-tal mess.
en_09447	Crabby Waiter	The crabby waiter asked, Are you ready to order, or do you need more time to shell-ebrate?
en_09448	Wooden Astronaut	The wooden astronaut complained that his space suit was too boarding.
en_09449	Wiggly Ruler	The wiggly ruler couldn't measure anything straight. It said it was just too flexible with the truth.
en_09450	Invisible Doghouse	I built an invisible doghouse. Now my invisible dog has nowhere to not sleep.
en_09451	Time Traveling Tree	The time traveling tree kept showing up in the past. It said, I just want to check my roots.
en_09452	Pillow Detective	The pillow detective was great at solving crimes. He always cushioned the truth out of suspects.
en_09453	Melting Fridge	The melting fridge was worried about its ice cubes. It said, I can't bear to see them go!
en_09454	Salty Teacup	The salty teacup was very moody. It said, I just need a little steaming room to myself.
en_09455	Digital Muffin	The digital muffin kept crashing. It was running out of batter-y life.
en_09456	Quantum Pizza	The quantum pizza is strange. It is both pepperoni and cheese until you open the box.
en_09457	Sneaker Librarian	The sneaker librarian was always quiet, but very fast. She ran the whole library.
en_09458	Ghost Pilot	The ghost pilot had a smooth flight. There was zero visibility, but he could just phase through the clouds.
en_09459	Giant Toothbrush	The giant toothbrush wanted a career change. It was tired of the daily grind.
en_09460	Sparkling Mud	I bought some sparkling mud. It's useless, but it looks fabulously dirty.
en_09461	Cheering Tomato	The cheering tomato said, I'm ketching up to the competition!
en_09462	Warped Crayon	The warped crayon couldn't draw straight lines. It said, I just have a colorful view of reality.
en_09463	Tricycle Squirrel	The tricycle squirrel was very fast. It was always wheeling and dealing.
en_09464	Wobbly Chair	The wobbly chair was asked to leave the concert. It kept making too much racket.
en_09465	Secret Lighthouse	The secret lighthouse was so good at hiding, it never helped any ships find the shore.
en_09466	Potato Clock	My potato clock is very unreliable. It's always running out of starch.
en_09467	Rubber Anchor	The rubber anchor was useless. It kept bouncing back and saying, I just can't commit!
en_09468	Singing Eraser	The singing eraser was an awful performer. It always rubbed the audience the wrong way.
en_09469	Fluffy Brick	I built a house out of fluffy brick. It's cozy, but terrible at withstanding weather.
en_09470	Disco Sloth	The disco sloth was a hit at the club. His moves were so slow, everyone could see them coming.
en_09471	Angry Lettuce	Why did the angry lettuce storm out? It kept having to deal with people asking if it was dressing for dinner.
en_09472	Unicorn Barista	The unicorn barista put glitter in my latte. It was a magical caffeine rush.
en_09473	Whiskey Balloon	The whiskey balloon was a bad idea. It just kept getting light-headed and floating away.
en_09474	Giant Spoon	The giant spoon went to the museum. It wanted to check out the stirring exhibits.
en_09475	Cabbage Ninja	The cabbage ninja was the sneakiest vegetable. You never saw it leaf the room.
en_09476	Digital Soap	The digital soap was useless for washing. It kept throwing error messages instead of bubbles.
en_09477	Pirate Accountant	The pirate accountant was terrible at his job. He kept counting the gold using Aaarrr-thmetic.
en_09478	Talking Fridge	The talking fridge never shuts up. It keeps telling me I have expired feelings.
en_09479	Witty Watermelon	The witty watermelon made a great joke. It was absolutely rind-blowing.
en_09480	Plastic Cactus	The plastic cactus was the best friend. It was always there and never prickly.
en_09481	Musical Spider	The musical spider was great at the harp. It had eight hands for plucking strings.
en_09482	Time-Out Squirrel	The time-out squirrel was banished to the corner for burying nuts in the flower pots.
en_09483	Silent Disco	The silent disco was awkward. I kept yelling song requests at the man in headphones.
en_09484	Vacuum Chicken	The vacuum chicken was amazing. It would clean the floor and lay an egg, all in one go.
en_09485	Couch Potato	My doctor told me to stop being a couch potato. Now I'm a sofa yam to mix things up."
en_09486	Rainbow Slinky	The rainbow slinky was very optimistic. It believed that every step was a colorful bounce.
en_09487	Alien Gardener	The alien gardener only grew one plant: the 'Intergalactic Beet' which tasted suspiciously like sadness.
en_09488	Jumping Bean	The jumping bean got an invitation to a party. It said, I'm ready to hop to it!
en_09489	Lemon Battery	The lemon battery failed the test. It just didn't have enough juice to power anything.
en_09490	Washing Whale	The washing whale loved doing laundry. It was the only one big enough to tide over the enormous loads.
en_09491	Angry Ketchup	The angry ketchup bottle exploded. It couldn't relish being squeezed anymore.
en_09492	Bouncing Toast	My bouncing toast landed butter-side up. It was a miracle of breakfast physics.
en_09493	Flying Piano	The flying piano was a musical marvel. It made the best air-y tunes.
en_09494	Invisible Paintbrush	I used an invisible paintbrush to draw a masterpiece. It took me hours to see the effort.
en_09495	Grumpy Kitten	The grumpy kitten was having a bad day. It said, I need more naps and less cattitude.
en_09496	Electric Donut	The electric donut was delicious, but shocking. It gave you a jolt with every bite.
en_09497	Secret Agent Mouse	The secret agent mouse was terrible at espionage. He kept leaving trails of cheese crumbs.
en_09498	Sleepwalking Bear	The sleepwalking bear woke up in a bakery. He was dreaming of honey-buns.
en_09499	Charming Chandelier	The charming chandelier was a flirt. It said, I'm here to light up your life!
en_09500	Rude Stapler	The rude stapler kept saying, You're getting pinned down by my rules!
en_09501	Cloud Shepherd	The cloud shepherd lost his entire flock. They all turned into cirrusly thin air.
en_09502	Pocket Volcano	I bought a pocket volcano as a pet. It's very warm, but keeps spitting out tiny lava notes.
en_09503	Silly Ladder	The silly ladder was bad at geometry. It said, I'm tired of step-ping into right angles.
en_09504	Giant Gummy	The giant gummy bear was asked to leave the pool. He was too sweet for the chlorine.
en_09505	Disco Ball	The disco ball was so reflective, it had trouble keeping secrets.
en_09506	Weather Forecast	The weather forecast promised sunshine, but delivered a light drizzle of sarcasm.
en_09507	Zen Zebra	The zen zebra meditated on its stripes. It achieved inner peace through parallel lines.
en_09508	Banana Detective	The banana detective was working a case. He was determined to solve the peel-er mystery.
en_09509	Fluffy Chainsaw	The fluffy chainsaw was useless for cutting. It just gave the trees a nice, gentle buzz.
en_09510	Confused Pirate	The confused pirate went to a bar and asked, Where be the seating?
en_09511	Melting Statue	The melting statue decided to take up yoga. It needed to work on its fluidity.
en_09512	Super Suitcase	The super suitcase was too powerful. It could hold everything, including my patience.
en_09513	Giggling Catfish	The giggling catfish was very funny. It always had the best whiskers-of-wisdom jokes.
en_09514	Rubber Ducky	The rubber ducky went to college. It wanted to learn how to be a better floater.
en_09515	Telescope Joke	I told a great telescope joke. It was star-tlingly funny.
en_09516	Silent Whisper	A silent whisper is the best way to tell someone a secret, especially if they're asleep.
en_09517	Singing Tree	The singing tree was a hit. It had incredible root-level talent.
en_09518	Happy Horse	The happy horse loved to perform on stage. It said, I'm finally stable enough for showbiz!
en_09519	Pocket Lint	Pocket lint is actually very rich. It owns a small fortune in fuzz.
en_09520	Mysterious Fridge	The mysterious fridge keeps hiding my snacks. It's a cruel cold war.
en_09521	Angry Keyboard	My angry keyboard keeps typing in all caps. It just needs a moment to escape its feelings.
en_09522	Time Capsule	I opened the time capsule from 2000. It contained a single, highly compressed dial-up noise.
en_09523	Unicorn Firetruck	The unicorn firetruck was great at putting out fires. It sprayed glitter and water.
en_09524	Grinning Gopher	The grinning gopher was terrible at his job. He kept giving everyone the shaft.
en_09525	Silly Goose	The silly goose went to the gym. It wanted to work on its webbed muscles.
en_09526	Wiggly Jello	The wiggly jello was very honest. It said, I'm a little shaky on the details.
en_09527	Robot Chef	The robot chef only cooks perfect food, but everything tastes like the color silver.
en_09528	Invisible Cat	I accidentally stepped on my invisible cat. Now it has nine transparent lives left.
en_09529	Angry Coffee	Why did the angry coffee break up with the milk? It said the relationship was getting too creamy and soft!
en_09530	Tuba Player	The tuba player was arrested. He was charged with breaking the sound barrier at a wedding.
en_09531	Talking Fridge	The talking fridge told me I needed to exercise. I told it to stop chilling and cool it with the commentary.
en_09532	Zombie Gardener	The zombie gardener won an award for his roses. They were absolutely dead gorgeous.
en_09533	Silent Disco	The worst part of a silent disco is realizing you're singing your terrible song choices out loud.
en_09534	Rubber Anchor	The rubber anchor was useless at sea. It just kept bouncing off the water and floating away.
en_09535	Cabbage Ninja	The cabbage ninja was the sneakiest vegetable. You never saw him leaf a trace.
en_09536	Super Suitcase	My super suitcase has one great power: no matter how much I pack, it still weighs too much.
en_09537	Wiggly Jello	The wiggly jello was very honest about its problems. It said, Im just shaky on the details.
en_09538	Time Traveling	I tried time traveling yesterday, but I gave up. It was too time consuming.
en_09539	Angry Toast	The angry toast was mad because everyone kept taking the crust of the matter too lightly.
en_09540	Polite Ghost	The polite ghost always knocked before phasing through the wall and said, Do you have a moment to boo?
en_09541	Laser Pointer	The cat is convinced the laser pointer is a super-enemy. Its a low-key, dot-based war.
en_09542	Banana Detective	The banana detective was peeling back the layers of the mystery. He found the culprit was split three ways.
en_09543	Jubilant Broom	The jubilant broom was so happy, it swept up its own birthday cake.
en_09544	Giant Pebble	The giant pebble was surprisingly popular. People really admired its stone-cold ambition.
en_09545	Washing Whale	The washing whale had a tough job. It was the only one big enough to tide over the enormous laundry loads.
en_09546	Mustard Bicycle	The mustard bicycle was very confident. It kept challenging the ketchup bike to catch up.
en_09547	Salty Popcorn	The salty popcorn was always complaining. It just couldn't handle the heat of being famous.
en_09548	Sleepy Alarm	My sleepy alarm clock has a problem: it keeps hitting the snooze button on its own behalf.
en_09549	Digital Muffin	The digital muffin was delicious, but it kept crashing because it had low batter-y life.
en_09550	Confused Pirate	The confused pirate went to the gym. He kept looking for the seating bench.
en_09551	Singing Statue	The singing statue was terrible, but she had a lot of stone-cold determination.
en_09552	Potato Clock	My potato clock is very unreliable. It runs out of starch energy by noon.
en_09553	Tangled Yarn	The tangled yarn wanted to be a sweater, but it couldn't get its life unravelled.
en_09554	Bouncing Pen	The bouncing pen was perfect for writing happy stories, as it had great spring in its step.
en_09555	Lemon Battery	The lemon battery failed to power anything. It just wasn't acid to the occasion.
en_09556	Pillow Detective	The pillow detective had a successful career. He always knew how to cushion the blow of bad news.
en_09557	Spicy Mattress	I bought a spicy mattress to try and spice up my life. Now my dreams are just too hot to handle.
en_09558	Jellyfish Astronaut	The jellyfish astronaut was happy. He said, I'm jell-y happy to be floating!
en_09559	Angry Lettuce	Why did the angry lettuce quit its job? It didn't want to get dressed for work anymore.
en_09560	Grinning Gopher	The grinning gopher was having a great day. He was tunneling his way to success.
en_09562	Supermarket Security	Supermarket security is tough. They have to keep a close aisle on everything.
en_09563	Wobbly Chair	The wobbly chair was asked to leave the ballet. It couldn't stop rocking the performance.
en_09565	Optimistic Ostrich	The optimistic ostrich stuck its head in the sand because it believed there was a party underneath.
en_09566	Singing Alarm	The singing alarm clock wakes me up by dramatically performing the sound of gong wrong.
en_09567	Tired Battery	The tired battery finally went to the hospital. It had low energy and needed a charge.
en_09568	Rubber Ducky	The rubber ducky went to college to learn how to be a better floater.
en_09569	Confetti Storm	A confetti storm is just a party that decided to spontaneously combust in the sky.
en_09570	Polka-Dot Fire	The polka-dot fire was strangely aesthetic, but dangerous. It had too many spots of trouble.
en_09571	Cheering Tomato	The cheering tomato said, I'm going to ketch up to the competition!
en_09572	Friendly Shark	The friendly shark decided to try stand-up comedy. His jokes were fin-tastic.
en_09573	Disco Sloth	The disco sloth was the fastest dancer at the club—on geological time.
en_09575	Rude Bicycle	The rude bicycle kept telling the rider, Get off my back! Im tired of pedaling your baggage.
en_09576	Supermarket Cart	Why did the supermarket cart get lost? It couldn't find its aisle home.
en_09577	Fluffy Chainsaw	The fluffy chainsaw was useless for cutting wood, but it gave the trees a nice, gentle buzz.
en_09579	Shining Star	I told a shining star a secret. It was a stellar listener.
en_09582	Digital Watch	My digital watch is broken. It keeps saying, ERROR: Minute details missing.
en_09583	Giggling Catfish	The giggling catfish was very funny. It always had great whiskers-of-wisdom jokes.
en_09584	Electric Donut	The electric donut was shocking. It gave you a jolt with every sweet bite.
en_09586	Hearty Hug	A hearty hug is the best medicine. It's guaranteed to squeeze the sad out.
en_09590	Time-Out Squirrel	The time-out squirrel was banished to the corner for burying nuts in the principal's car.
en_09593	Sleepwalking Bear	The sleepwalking bear woke up in a bakery. He was dreaming of honey-combs.
en_09596	Musical Spider	The musical spider formed a band. They called themselves 'Eight Legs and a Web of Sound.'
en_09604	Giant Eraser	I bought a giant eraser to clean up my messy life. So far, it's not working on the mistakes.
en_09611	Robot Chef	The robot chef only cooks perfect food, but everything tastes a little too metallic.
en_09615	Couch Potato	My therapist told me to embrace my inner couch potato. Now Im just worried I'll sprout eyes and get mashed.
en_09617	Friendly Firetruck	The friendly firetruck was great at putting out fires. It sprayed water and offered warm tea afterwards.
en_09618	Secret Santa	Secret Santa is the best way to get a gift youll never use from someone you dont know.
en_09620	Angry Keyboard	My angry keyboard keeps yelling at me in all caps. It just needs a moment to space out.
en_09624	Fluffy Brick	I built a house out of fluffy brick. It's cozy, but terrible at withstanding strong feelings.
en_09626	Whispering Wind	The whispering wind is a terrible secret-keeper. It always blows the gossip around town.
en_09627	Amazing Alphabet	Why is the amazing alphabet so happy? Because it starts with A and ends with Z of fun!
en_09628	banana uniform	My banana slipped out of my lunchbox like it refused to wear the uniform for school
en_09629	charger pillow	My charger hid under my pillow like it wanted to take a nap instead of powering my phone
en_09630	window blanket	My window fogged up so badly it looked like it needed a warm blanket to feel better
en_09631	cheese rocket	My cheese fell off the table and launched itself like a tiny rocket escaping responsibility
en_09632	shoe biscuit	My shoe stepped on a biscuit and now it walks around like it has crunchy confidence
en_09633	notebook dragon	My notebook curled at the edges like a dragon guarding my incomplete homework
en_09634	door popcorn	My door kept popping open like popcorn trying to escape the microwave
en_09635	apple ninja	My apple rolled off the shelf silently like a ninja avoiding my diet plan
en_09636	soap headphones	My soap slipped into the sink and made a splash that sounded like it was testing new headphones
en_09637	mirror balloon	My mirror puffed up my hair so much it looked like I was hiding a balloon inside it
en_09638	towel volcano	My towel fell from the shelf like a volcano erupting with fabric lava
en_09639	pencil storm	My pencil lead broke so dramatically it felt like the start of a tiny storm
en_09640	bag onion	My bag made me cry more than an onion when I saw how messy it was inside
en_09641	fan sandwich	My fan blew so hard it almost turned my sandwich into flying food art
en_09642	laptop donut	My laptop froze again like it wanted to be a donut doing absolutely nothing
en_09643	cup moon	My cup tilted slowly like it was trying to imitate the phases of the moon
en_09644	pepper ladder	My pepper rolled off the counter like it was climbing an invisible ladder to escape dinner
en_09645	mouse pillow	My mouse got stuck under my pillow like it wanted to retire early from scrolling
en_09646	paper tiger	My paper ripped slightly and suddenly felt like a brave tiger ready for battle
en_09647	juice monster	My juice splashed out like a monster trying to escape the bottle
en_09648	blanket sandwich	My blanket covered me so perfectly I felt like a sandwich being served to sleep
en_09649	potato galaxy	My potato rolled away like it was exploring the galaxy under my table
